Ligand SMILES,activity_class
CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@@H]1CCCCCC[C@H](N)C(=O)N[C@@H](C)C(=O)N1)C(=O)NCc1ccccc1,moderately_active
CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@@H]1CCCCCN([C@@H](C)C(=O)N1)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)NCc1ccncc1,moderately_active
CCC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCCCC[C@H](NC(=O)[C@@H]1C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccncc1,moderately_active
C[C@@H](NC(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)N(C)S(C)(=O)=O)c1ccccc1,moderately_active
CNC(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)N(C)S(C)(=O)=O,moderately_active
CCC(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)N(C)S(C)(=O)=O,moderately_active
CN(c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)C(=O)Cc1ccccc1)S(C)(=O)=O,moderately_active
CN(c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)C(O)Cc1ccccc1)S(C)(=O)=O,moderately_active
CN(c1cc(cc(c1)C(=O)c1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)S(C)(=O)=O,moderately_active
CN(c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)C(O)c1ccccc1)S(C)(=O)=O,moderately_active
CN(c1cc(cc(c1)C(=C)c1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)S(C)(=O)=O,moderately_active
CN(c1cc(Cc2ccccc2)cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)S(C)(=O)=O,moderately_active
CN(c1cc(cc(c1)C(=O)C1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)S(C)(=O)=O,moderately_active
CC(C)C(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)N(C)S(C)(=O)=O,moderately_active
CN(c1cc(cc(c1)C(=O)C1CCCC1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)S(C)(=O)=O,moderately_active
CN(c1cc(\C=C\C2CC2)cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)S(C)(=O)=O,moderately_active
CN(c1cc(\C=C/C2CC2)cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)S(C)(=O)=O,moderately_active
CN(c1cc(CCC2CC2)cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)S(C)(=O)=O,moderately_active
C[C@@H](NC(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)N(C)S(C)(=O)=O)c1ccccc1,moderately_active
C[C@@H](NC(=O)c1cc(cc(c1)C1=NC(CO)(Cc2ccccc2)CO1)N(C)S(C)(=O)=O)c1ccc(F)cc1,inactive
C[C@@H](NC(=O)c1cc(cc(c1)C(=O)OCC(N)(CO)Cc1ccccc1)N(C)S(C)(=O)=O)c1ccc(F)cc1,moderately_active
C[C@@H](NC(=O)c1cc(cc(c1)C(=O)NC(CO)(CO)Cc1ccccc1)N(C)S(C)(=O)=O)c1ccc(F)cc1,moderately_active
C[C@@H](NC(=O)c1cc(COC[C@@](N)(CO)Cc2ccccc2)cc(c1)N(C)S(C)(=O)=O)c1ccc(F)cc1,moderately_active
C[C@@H](NC(=O)c1cc(COC[C@](C)(N)Cc2ccccc2)cc(c1)N(C)S(C)(=O)=O)c1ccc(F)cc1,moderately_active
C[C@@H](NC(=O)c1cc(COC(=O)[C@](C)(N)Cc2ccccc2)cc(c1)N(C)S(C)(=O)=O)c1ccc(F)cc1,moderately_active
C[C@@H](NC(=O)c1cc(cc(c1)-c1nnc(o1)[C@](C)(N)Cc1ccccc1)N(C)S(C)(=O)=O)c1ccc(F)cc1,moderately_active
C[C@@H](NC(=O)c1cc(OCC(=O)NCCCCCN)cc(c1)C(=O)N(CC=C)CC=C)c1ccccc1,inactive
C[C@@H](NC(=O)c1cc(OCC(=O)NCCCCCN)cc(c1)-c1ccccc1C#N)c1ccccc1,inactive
C[C@@H](NC(=O)c1cc(OCC(=O)NCCCCCN)cc(OS(=O)(=O)Cc2ccccc2)c1)c1ccccc1,moderately_active
C[C@H](NC(=O)c1cc(OCC(=O)NCCCCCN)cc(OS(=O)(=O)Cc2ccccc2)c1)c1ccccc1,inactive
C[C@@H](NC(=O)c1cc(OCC(=O)NCCCCCN)cc(OS(=O)(=O)Cc2ccccc2)c1)c1ccc(F)cc1,moderately_active
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(O)=O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O,very_active
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(O)=O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(O)=O,moderately_active
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(O)=O)C(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O,moderately_active
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(O)=O)C(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(O)=O,moderately_active
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(O)=O)C(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C)C(O)=O,moderately_active
CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C)C(O)=O,moderately_active
CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(O)=O,moderately_active
CCCCNC(=O)[C@H](C)NC(=O)[C@@H]1CCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O,moderately_active
CCCCNC(=O)[C@@H](NC(=O)[C@@H]1CCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,moderately_active
CCCCNC(=O)[C@@H]1CCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O,moderately_active
CCCCNC(=O)[C@@H](NC(=O)[C@@H]1CC(=O)C[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,moderately_active
CCCCNC(=O)[C@@H](NC(=O)[C@@H]1CN(C)C[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,moderately_active
CCCCNC(=O)[C@@H](NC(=O)[C@H]1[C@@H](CN(CC)C1=O)[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,moderately_active
CCCCNC(=O)[C@@H](NC(=O)[C@H]1[C@@H](CC(=O)N1C)[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,moderately_active
CCCCNC(=O)[C@@H](NC(=O)[C@@H]1OCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,moderately_active
CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@@H]1CC(=O)C[C@H]1C(=O)N[C@@H](C)C(O)=O,moderately_active
CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@@H]1CC(=C)C[C@H]1C(=O)N[C@@H](C)C(O)=O,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCCSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCc2ccc(CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1)cc2,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C/CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,moderately_active
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C\CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,moderately_active
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCSC[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCSC[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCCSC[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCc2ccc(CSC[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N1)cc2,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C/CSCCC(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C\CSCCC(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C\CSC[C@H](N)C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(C)=O,moderately_active
CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H](CC(C)C)NC(C)=O,moderately_active
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1COCCCCOC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1COC\C=C/COC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1COC\C=C/CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,moderately_active
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1COC\C=C/CSC[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N1,moderately_active
CCCCNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C/CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1)C(C)C,moderately_active
CCCCNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C\CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1)C(C)C,moderately_active
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C\CS[C@@H]2CNCC[C@@H]2C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C\CS[C@H]2CNCC[C@H]2C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C\CS[C@@H]2CCCN[C@@H]2C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C\CS[C@H]2CCCN[C@H]2C(=O)N[C@@H](C)C(=O)N1,moderately_active
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C\CC[C@@H]2CNCC[C@@H]2C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C\CC[C@H]2CNCC[C@H]2C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C\CC[C@@H]2CCCN[C@@H]2C(=O)N[C@@H](C)C(=O)N1,inactive
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C\CC[C@H]2CCCN[C@H]2C(=O)N[C@@H](C)C(=O)N1,inactive
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(O)=O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O,
CSCC[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CSCC[C@H](NC(=O)OCn1nc(C)cc1C)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CSC[C@H](NC(=O)OCn1nc(C)cc1C)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCC(C)C,
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)OCn1nc(C)cc1C)C(C)C,
CC(C)CNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)OCc1nc(C)oc1C)C(C)C,
CCCNC(=O)c1cccc(c1)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NC(C)C,
CCCNC(=O)c1cc(cc(c1)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NC(C)C)N(C)S(C)(=O)=O,
CC(C)C[C@H](NC(=O)c1cc(cc(c1)C(=O)NCc1nc(C)oc1C)N(C)S(C)(=O)=O)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NC(C)C,
CC(C)C[C@H](NC(=O)c1cc(cc(c1)C(=O)NCc1ccccc1)N(C)S(C)(=O)=O)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NC(C)C,
CC(C)C[C@H](NC(=O)c1cc(cc(c1)C(=O)N[C@H](C)c1ccccc1)N(C)S(C)(=O)=O)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NC(C)C,
CC(C)C[C@H](NC(=O)c1cc(cc(c1)C(=O)N[C@@H](C)c1ccccc1)N(C)S(C)(=O)=O)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NC(C)C,
CC(C)C[C@H](NC(=O)c1cc(cc(c1)C(=O)N[C@H](CO)c1ccccc1)N(C)S(C)(=O)=O)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NC(C)C,
CC(C)C[C@H](NC(=O)c1cc(cc(c1)C(=O)NC(C)c1nc(C)oc1C)N(C)S(C)(=O)=O)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NC(C)C,
C[C@@H](NC(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)N(C)S(C)(=O)=O)c1ccccc1,
CC(C)C[C@H](NC(=O)[C@H](CC(=O)NCC=C)NC(=O)[C@@H](NC(=O)OCC=C)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CC(C)C[C@H](NC(=O)[C@@H]1CC(=O)NC\C=C\COC(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CC(C)C[C@H](NC(=O)[C@@H]1CC(=O)NCCCCOC(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CC(C)C[C@H](NC(=O)[C@H](CC(=O)NCC=C)NC(=O)[C@@H](NC(=O)OCCC=C)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CC(C)C[C@H](NC(=O)[C@@H]1CC(=O)NC\C=C\CCOC(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CC(C)C[C@H](NC(=O)[C@@H]1CC(=O)NCCCCCOC(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CC(C)C[C@H](NC(=O)[C@H](CC(=O)NCC=C)NC(=O)[C@@H](NC(=O)OCCCC=C)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CC(C)C[C@H](NC(=O)[C@@H]1CC(=O)NC\C=C\CCCOC(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CC(C)C[C@H](NC(=O)[C@@H]1CC(=O)NCCCCCCOC(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](CC(C)C)[C@H](N)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)Nc1ccc(F)cc1,
CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)Nc1ccc(F)cc1,
CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](N)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,
CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](N)C[C@@H](C)C(=O)Nc1ccc(F)cc1,
C[C@@H](NC(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)N(C)S(C)(=O)=O)c1ccccc1,moderately_active
C[C@@H](NC(=O)c1cc(NS(C)(=O)=O)cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)c1ccc(F)cc1,moderately_active
C[C@@H](NC(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)N(C)S(C)(=O)=O)c1ccc(F)cc1,moderately_active
C[C@@H](NC(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN)N(C)S(C)(=O)=O)c1ccc(F)cc1,moderately_active
CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(cc(c1)C(=O)N[C@H](C)c1ccc(F)cc1)N(C)S(C)(=O)=O,moderately_active
C[C@@H](NC(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC(C)(C)C)N(C)S(C)(=O)=O)c1ccc(F)cc1,moderately_active
CC(C)S(=O)(=O)N(C)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)C(=O)N[C@H](C)c1ccccc1,moderately_active
C[C@@H](NC(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1)N(C)S(=O)(=O)N(C)C)c1ccccc1,moderately_active
C[C@H]1C[C@@H]1CNc1cc(cc(n1)N(C)S(C)(=O)=O)C(=O)N[C@H](CO)Cc1cc(F)cc(F)c1,moderately_active
CCCC[C@H](O)[C@H](Cc1cc(F)cc(F)c1)NC(=O)c1cc(NC[C@H]2C[C@@H]2C)nc(c1)N(C)S(C)(=O)=O,moderately_active
CCCC[C@H](N)[C@H](Cc1cc(F)cc(F)c1)NC(=O)c1cc(NC[C@H]2C[C@@H]2C)nc(c1)N(C)S(C)(=O)=O,very_active
C[C@H]1C[C@@H]1CNc1cc(cc(n1)N(C)S(C)(=O)=O)C(=O)N[C@H](CN)Cc1ccccc1,moderately_active
CCCC[C@H](N)[C@H](Cc1ccccc1)NC(=O)c1cc(NC[C@H]2C[C@@H]2C)nc(c1)N(C)S(C)(=O)=O,moderately_active
C[C@H]1C[C@@H]1CNc1cc(cc(n1)N(C)S(C)(=O)=O)C(=O)N[C@@H](Cc1ccccc1)[C@@H](N)CCC(F)(F)F,very_active
CCCC[C@H](N)[C@H](Cc1ccsc1)NC(=O)c1cc(NC[C@H]2C[C@@H]2C)nc(c1)N(C)S(C)(=O)=O,moderately_active
C[C@H](N)[C@H](Cc1ccsc1)NC(=O)c1cc(NC[C@H]2C[C@@H]2C)nc(c1)N(C)S(C)(=O)=O,moderately_active
CCCC[C@H](N)[C@H](Cc1ccccc1)NC(=O)c1cc(nc(c1)N(C)S(C)(=O)=O)N(C)C[C@H]1C[C@@H]1C,moderately_active
CCCC[C@H](N)[C@H](Cc1ccccc1)NC(=O)c1cc(nc(c1)N(CCC)S(C)(=O)=O)N(C)C[C@H]1C[C@@H]1C,moderately_active
